para_id,doc_id,page_number,para_index_on_page,para_char_count,para_text
DOC_0002_P0011_07,DOC_0002,11,7,308,"Authorizes the Executive Board to exercise all the powers of the Council, with the exception of those specified in Articles 4.3, 4.4, 6.2(e), 6.2(f), 6.5(e),
6.8(a), 6.8(c), 6.9, 6.10, 7.1(e) and 8.1 of the Agreement Establishing the Fund, and those reserved to the Council by Article 6.2(c) (i-vi) thereof.”"
DOC_0002_P0011_08,DOC_0002,11,8,217,"The last paragraph of the above-mentioned Resolution was subsequently amended by Resolution 86/XVIII, adopted by the Governing Council on 26
January 1995 and entered into force on 20 February 1997, to read as follows:"
DOC_0002_P0011_09,DOC_0002,11,9,317,"“Authorizes the Executive Board to exercise all the powers of the Council, with the exception of those specified in Articles 4.3, 4.4, 6.2(e), 6.2(f), 6.5(e),
6.8(a), 6.8(b), 6.8(d), 6.9, 6.10, 7.1(e) and 8.1 of the Agreement Establishing the Fund, and those reserved to the Council by Article 6.2(c) (i-vi) thereof.”"
DOC_0002_P0012_01,DOC_0002,12,1,2,12
DOC_0002_P0012_02,DOC_0002,12,2,3784,"AGREEMENT ESTABLISHING IFAD
Governing Council prior to 26 January 1995 and made by Members in accordance with
Sections 2, 3 and 4 of Article 4 of this Agreement, bear to the aggregate of the total of the
said contributions paid by all Members;
(ii)  Replenishment Votes shall be made up of membership votes and contribution votes in a
total    amount of votes to be decided by the Governing Council upon each occasion that it
calls for additional contributions under Section 3 of Article 4 of this Agreement (a
“replenishment”) commencing with the fourth such replenishment. Except as the Governing
Council shall by a two-thirds majority of the total number of votes otherwise decide, the votes
for each replenishment shall be established in the ratio of one hundred (100) votes for the
equivalent of each one hundred and fifty eight million United States dollars (USD 158 000
000) contributed to the total amount of that replenishment, or a fraction thereof:
(A) membership votes shall be distributed equally among all Members on the same basis
as that set forth in provision (i)(A) above; and
(B) contribution votes shall be distributed among all Members in the proportion that each
Member’s paid contribution to the resources contributed to the Fund by Members for each
replenishment bears to the aggregate of the total contributions paid by all Members to
the said replenishment; and
(iii) The Governing Council shall decide the total number of votes to be allocated as membership
votes and contribution votes under paragraphs (i) and (ii) of this Section. Upon any change in
the number of Members of the Fund, the membership votes and contribution votes distributed
under paragraphs (i) and (ii) of this Section shall be redistributed in accordance with the
principles laid down in the said paragraphs. In the allocation of votes, the Governing Council
shall ensure that those Members classified as members of Category III before 26 January
1995 receive one-third of the total votes as membership votes.
(b)
For the purposes of Section 3 (a) (i) (B) and (ii) (B) above, the grant element of a concessional
partner loan and the discount or the credit generated from the early encashment of
contributions shall be considered as “paid contributions” and contributions votes shall be
distributed accordingly; and
(c)
 Except as otherwise specified in this Agreement, decisions of the Governing Council shall be
taken by a simple majority of the total number of votes.
Section 4 - Chairman of the Governing Council
The Governing Council shall elect a Chairman from among the Governors, who shall serve for two
years.
Section 5 - Executive Board
(a)  The Executive Board shall be composed of 18 members and up to 18 alternate members, elected
from the Members of the Fund at the annual session of the Governing Council. The seats in the
Executive Board shall be distributed by the Governing Council from time to time as specified in
Schedule II to this Agreement. The members of the Executive Board and their alternates, who
may vote only in the absence of a member, shall be elected and appointed in accordance with
the procedures set forth in Schedule II hereto, which forms an integral part of this Agreement.
(b)  Members of the Executive Board shall serve for a term of three years.
(c)  The Executive Board shall be responsible for the conduct of the general operations of the Fund,
and for this purpose shall exercise the powers given to it by this Agreement or delegated to it by
the Governing Council.
(d)  The Executive Board shall meet as often as the business of the Fund may require.
(e)  The representatives of a member or of an alternate member of the Executive Board shall serve
without remuneration from the Fund. However, the Governing Council may decide the basis on"
DOC_0002_P0013_01,DOC_0002,13,1,2,13
DOC_0002_P0013_02,DOC_0002,13,2,3475,"AGREEMENT ESTABLISHING IFAD
which reasonable travel and subsistence expenses may be granted to one such representative
of each member and of each alternate member.
(f)
A quorum for any meeting of the Executive Board shall be constituted by members exercising
two-thirds of the total votes of all its members.
Section 6 - Voting in the Executive Board
(a)  The Governing Council shall, from time to time, decide the distribution of votes among the
members of the Executive Board in accordance with the principles established in Section 3(a) of
Article 6 of this Agreement.
(b)  Except as otherwise specified in this Agreement, decisions of the Executive Board shall be taken
by a majority of three-fifths of the votes cast, provided that such majority is more than one-half of
the total number of votes of all members of the Executive Board.
Section 7 - Chairman of the Executive Board
The President of the Fund shall be the Chairman of the Executive Board and shall participate in its
meetings without the right to vote.
Section 8 - President and Staff
(a)  The Governing Council shall appoint the President by a two-thirds majority of the total number of
votes. He shall be appointed for a term of four years and shall be eligible for reappointment for
only one further term. The appointment of the President may be terminated by the Governing
Council by a two-thirds majority of the total number of votes.
(b)  Notwithstanding the restriction on the term of office of the President of four years, contained in
paragraph (a) of this Section, the Governing Council may, under special circumstances, on the
recommendation of the Executive Board, extend the term of office of the President beyond the
duration prescribed in paragraph (a) above. Any such extension shall be for no more than six
months.
(c)  The President may appoint a Vice-President, who shall perform such duties as shall be assigned
to him by the President.
(d)  The President shall head the staff and, under the control and direction of the Governing Council
and the Executive Board, shall be responsible for conducting the business of the Fund. The
President shall organize the staff and shall appoint and dismiss members of the staff in
accordance with regulations adopted by the Executive Board.
(e)  In the employment of the staff and in the determination of the conditions of service, consideration
shall be given to the necessity of securing the highest standards of efficiency, competence and
integrity as well as to the importance of observing the criterion of equitable geographical
distribution.
(f)
The President and the staff, in the discharge of their functions, owe their duty exclusively to the
Fund and shall neither seek nor receive instructions in regard to the discharge thereof from any
authority external to the Fund. Each Member of the Fund shall respect the international character
of this duty and shall refrain from any attempt to influence them in the discharge of their duties.
(g)  The President and the staff shall not interfere in the political affairs of any Member. Only
development policy considerations shall be relevant to their decisions and these considerations
shall be weighed impartially in order to achieve the objective for which the Fund was established.
(h)  The President shall be the legal representative of the Fund.
(i)
The President, or a representative designated by him, may participate, without the right to vote,
in all meetings of the Governing Council."
DOC_0002_P0014_01,DOC_0002,14,1,2,14
DOC_0002_P0014_02,DOC_0002,14,2,481,"AGREEMENT ESTABLISHING IFAD
Section 9 - Seat of the Fund
The Governing Council shall determine the permanent seat of the Fund by a two-thirds majority of the
total number of votes. The provisional seat of the Fund shall be in Rome.
Section 10 - Administrative Budget
The President shall prepare an annual administrative budget which he shall submit to the Executive
Board for transmission to the Governing Council for approval by a two-thirds majority of the total
number of votes."
DOC_0002_P0014_03,DOC_0002,14,3,1606,"Section 11 - Publication of Reports and Provision of Information
The Fund shall publish an annual report containing an audited statement of its accounts and, at
appropriate intervals, a summary statement of its financial position and of the results of its operations.
Copies of such reports, statements and other publications connected therewith shall be distributed to
all Members.
Article 7
OPERATIONS
Section 1 - Use of Resources and Conditions of Financing
(a)  The resources of the Fund shall be used to achieve the objective specified in Article 2.
(b)
Financing by the Fund shall be provided only for the benefit of developing States that are
Members of the Fund. Such financing may be provided directly to developing Member States or
political subdivisions thereof, or through intergovernmental organizations in which such Members
participate or to, or through, national development banks, private sector organizations and
enterprises, or other entities as assessed from time to time by the Executive Board. In the case
of a loan provided to an entity other than a Member State, the Fund shall normally require a
suitable governmental or other guarantees, unless the Executive Board decides otherwise on the
basis of a thorough assessment concerning related risks and safeguards.
 (c)  The Fund shall make arrangements to ensure that the proceeds of any financing are used only
for the purposes for which the financing was provided, with due attention to considerations of
economy, efficiency and social equity.
(d)  In allocating its resources the Fund shall be guided by the following priorities:"
DOC_0002_P0014_04,DOC_0002,14,4,725,"(i)  the need to increase food production and to improve the nutritional level of the poorest
populations in the poorest food deficit countries;
(ii)  the potential for increasing food production in other developing countries. Likewise, emphasis
shall be placed on improving the nutritional level of the poorest populations in these countries
and the conditions of their lives.
Within the framework of the above-mentioned priorities, eligibility for assistance shall be on the
basis of objective economic and social criteria with special emphasis on the needs of the low
income countries and their potential for increasing food production, as well as due regard to a fair
geographic distribution in the use of such resources."
DOC_0002_P0015_01,DOC_0002,15,1,2,15
