doc_id,igo_id,igo_name,doc_family,doc_type,filename,local_path,file_ext,file_bytes,sha256,bundle_relpath,source_url,access_date,extraction_method,page_count,pages_with_text,empty_pages,pct_pages_with_text,page_load_errors,extraction_quality_flag,source_note
DOC_0036,undp,United Nations Development Programme (UNDP),Foundational / legal,Resolution / decision,UNDP — UN General Assembly establishing resolution.pdf,/mnt/data/UNDP — UN General Assembly establishing resolution.pdf,.pdf,262105,488ade8f973c1b4555454c5cae9e3f46e45765f33f7fc97f99d988a45a208d97,data/raw/igo_documents/UNDP — UN General Assembly establishing resolution.pdf,,,pymupdf_text,2.0,2.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0037,undrr,United Nations Office for Disaster Risk Reduction (UNDRR),Foundational / legal,Resolution / decision,UNDRR Resolution.pdf,/mnt/data/UNDRR Resolution.pdf,.pdf,292269,53e865d0635f6a8ddbfec9bb6a183c2ce9a197db218d5722ddb53a07098102e3,data/raw/igo_documents/UNDRR Resolution.pdf,,,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0038,ipbes,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),Other / governance instrument,Document,UNEP Gov. Council est IPBES.doc,/mnt/data/UNEP Gov. Council est IPBES.doc,.doc,126464,82525cf9527af3646ac731cd29c318da8baad910c494db868a23c70c4da449fe,data/raw/igo_documents/UNEP Gov. Council est IPBES.doc,,,unsupported_non_pdf,,,,,,unsupported,Provided (local copy)
DOC_0039,unep,United Nations Environment Programme (UNEP),Foundational / legal,Resolution / decision,UNEP Secretriat Resolution.pdf,/mnt/data/UNEP Secretriat Resolution.pdf,.pdf,489090,a98da312fb9eff038a32eb6fd9918071d168110002d9217d22eeb6b5f11c6323,data/raw/igo_documents/UNEP Secretriat Resolution.pdf,,,pymupdf_text,3.0,3.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0040,unfccc,Climate Change Secretariat,Other / governance instrument,Document,UNFCCC.pdf,/mnt/data/UNFCCC.pdf,.pdf,52331,acdc17637f54a0fddc524a19a2abf13893120456e619896a5a2b7b82ee727786,data/raw/igo_documents/UNFCCC.pdf,,,pymupdf_text,33.0,33.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0041,unfccc,Climate Change Secretariat,Foundational / legal,Resolution / decision,UNGA Resolution on UNFCCC.pdf,/mnt/data/UNGA Resolution on UNFCCC.pdf,.pdf,231060,c5b03d93e510cb6a5ed97e55a9e152435ac3bca35be9585a582125771897fa78,data/raw/igo_documents/UNGA Resolution on UNFCCC.pdf,,,pymupdf_text,2.0,0.0,2.0,0.0,0.0,low_text_density,Provided (local copy)
DOC_0042,unido,United Nations Industrial Development Organization (UNIDO),Foundational / legal,Constitution,UNIDO Constitution.pdf,/mnt/data/UNIDO Constitution.pdf,.pdf,180354,308ab496fa7ce3ba04f8de32443f1d8138db6a53722241cd9f2f262afd4d99f9,data/raw/igo_documents/UNIDO Constitution.pdf,,,pymupdf_text,36.0,34.0,2.0,0.9444,0.0,ok,Provided (local copy)
DOC_0043,unodc,United Nations Office on Drugs and Crime (UNODC),Other / governance instrument,Document,UNODC — UNGA:ECOSOC mandate document_2.pdf,/mnt/data/UNODC — UNGA:ECOSOC mandate document_2.pdf,.pdf,286281,5e6031e3154587aaacd13e9c89370cb048e75342f6aa701355359b1a5392918e,data/raw/igo_documents/UNODC — UNGA:ECOSOC mandate document_2.pdf,,,pymupdf_text,11.0,11.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0044,unoosa,United Nations Office for Outer Space Affairs (UNOOSA),Other / governance instrument,Document,UNOOSA — UNGA mandate:Secretariat terms.pdf,/mnt/data/UNOOSA — UNGA mandate:Secretariat terms.pdf,.pdf,236121,89013194394a17e1729d8a695c4e4ba7b7841911c1851519800caef226247895,data/raw/igo_documents/UNOOSA — UNGA mandate:Secretariat terms.pdf,,,pymupdf_text,2.0,0.0,2.0,0.0,0.0,low_text_density,Provided (local copy)
DOC_0045,unops,United Nations Office for Project Services (UNOPS),Foundational / legal,Resolution / decision,UNOPS Resolution.pdf,/mnt/data/UNOPS Resolution.pdf,.pdf,2117015,a552e1a39096425e79c1dfd07d36e41b5f1db9ca4d899b4fe51834d96b711ec5,data/raw/igo_documents/UNOPS Resolution.pdf,,,pymupdf_text,29.0,0.0,29.0,0.0,0.0,low_text_density,Provided (local copy)
DOC_0046,unrisd,UN Research Institute for Social Development (UNRISD),Other / governance instrument,Document,UNRISD Secretariat Bulletin.pdf,/mnt/data/UNRISD Secretariat Bulletin.pdf,.pdf,289884,2ab02a13aa4da65c27a80c3b4ddbfefab355bb284ffcb592db3aeaa43b04f078,data/raw/igo_documents/UNRISD Secretariat Bulletin.pdf,,,pymupdf_text,3.0,3.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0047,unrisd,UN Research Institute for Social Development (UNRISD),Other / governance instrument,Document,UNRISD.pdf,/mnt/data/UNRISD.pdf,.pdf,1114639,3472be7e9040d7b3a867beb68de353c902243d3c82f3042ef08b7a787a6b2801,data/raw/igo_documents/UNRISD.pdf,,,pymupdf_text,10.0,0.0,10.0,0.0,0.0,low_text_density,Provided (local copy)
DOC_0048,unu,United Nations University (UNU),Foundational / legal,Charter,UNU-Charter-2014.pdf,/mnt/data/UNU-Charter-2014.pdf,.pdf,57407,d290c459eb0a3aaebbcabdddc5aaea68c4d1efe4ab4031c78cd6d3749836602b,data/raw/igo_documents/UNU-Charter-2014.pdf,,,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0049,unwto,World Tourism Organization/UN Tourism (UNWTO),Foundational / legal,Statute,unwto statute.pdf,/mnt/data/unwto statute.pdf,.pdf,138191,b7a373bd70c446f941847d3c64444882c757f82dd624d902395e7eec035ab033,data/raw/igo_documents/unwto statute.pdf,,,pymupdf_text,35.0,34.0,1.0,0.9714,0.0,ok,Provided (local copy)
DOC_0050,wfp,World Food Programme (WFP),Foundational / legal,Rules / regulations,WFP — General Regulations & Rules  Basic Texts.pdf,/mnt/data/WFP — General Regulations & Rules  Basic Texts.pdf,.pdf,659687,58299e946e08dedf44fd3d88261c29da866acdf27f0da4ec8833e0f08d74a278,data/raw/igo_documents/WFP — General Regulations & Rules  Basic Texts.pdf,,,pymupdf_text,78.0,64.0,14.0,0.8205,0.0,ok,Provided (local copy)
DOC_0051,who,World Health Organization (WHO),Foundational / legal,Constitution,WHO Constitution.pdf,/mnt/data/WHO Constitution.pdf,.pdf,15212426,521f1c1b69ffc10653eb64ce7565acde6ac9b35e9eebd1d91026588b192c469f,data/raw/igo_documents/WHO Constitution.pdf,,,pymupdf_text,146.0,1.0,145.0,0.0068,0.0,low_text_density,Provided (local copy)
DOC_0052,wipo,World Intellectual Property Organisation (WIPO),Foundational / legal,Convention / treaty,WIPO Convention.pdf,/mnt/data/WIPO Convention.pdf,.pdf,83418,3276eb3d44bd456794895870ed3cf73030224957ebb1a82d10443f00e3d46771,data/raw/igo_documents/WIPO Convention.pdf,,,pymupdf_text,11.0,11.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0053,wmo,World Meteorological Organization (WMO),Other / governance instrument,Document,WMO Basic Document.pdf,/mnt/data/WMO Basic Document.pdf,.pdf,741297,c628d4e14882cd6c828d40b6d77a2182d3ca693f055b5cf64d1d1c5f93f7e4dd,data/raw/igo_documents/WMO Basic Document.pdf,,,pymupdf_text,205.0,186.0,19.0,0.9073,0.0,ok,Provided (local copy)
DOC_0054,wbg,World Bank Group (WBG),Foundational / legal,Articles of agreement,World Bank (IBRD) — Articles of Agreement (1944).pdf,/mnt/data/World Bank (IBRD) — Articles of Agreement (1944).pdf,.pdf,233191,9d6ebe927d7b006d941006f7a261b09a4475352d9de12f9367e47ae60717b7ee,data/raw/igo_documents/World Bank (IBRD) — Articles of Agreement (1944).pdf,,,pymupdf_text,22.0,22.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0055,wbg,World Bank Group (WBG),Foundational / legal,Agreement,World Bank_IBRDArticlesOfAgreementEnglish.pdf,/mnt/data/World Bank_IBRDArticlesOfAgreementEnglish.pdf,.pdf,233191,9d6ebe927d7b006d941006f7a261b09a4475352d9de12f9367e47ae60717b7ee,data/raw/igo_documents/World Bank_IBRDArticlesOfAgreementEnglish.pdf,,,pymupdf_text,22.0,22.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0056,wfp,World Food Programme (WFP),Other / governance instrument,Document,World Food Programme.pdf,/mnt/data/World Food Programme.pdf,.pdf,417377,5a6b37893ed500f03f21acccfddab7afbba00ec02f751c062f510d0b9e378b29,data/raw/igo_documents/World Food Programme.pdf,,,pymupdf_text,4.0,4.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0057,unwto,World Tourism Organization/UN Tourism (UNWTO),Other / governance instrument,Document,World Tourism Organisation.pdf,/mnt/data/World Tourism Organisation.pdf,.pdf,1435413,1b32cb3e077530743211d68b3299c87aa7898650d3753c79f2e107631d9c5597,data/raw/igo_documents/World Tourism Organisation.pdf,,,pymupdf_text,84.0,84.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0058,wto,World Trade Organization (WTO),Foundational / legal,Agreement,WTO — Marrakesh Agreement Establishing the World Trade Organization (1994).pdf,/mnt/data/WTO — Marrakesh Agreement Establishing the World Trade Organization (1994).pdf,.pdf,220379,ff0eeaa8a3bd83f60adb7e7ee567fd750d24e1b27a865af62cc576d875de55fd,data/raw/igo_documents/WTO — Marrakesh Agreement Establishing the World Trade Organization (1994).pdf,,,pymupdf_text,42.0,41.0,1.0,0.9762,0.0,ok,Provided (local copy)
DOC_0059,un_habitat,United Nations Human Settlements Programme (UN-Habitat),Foundational / legal,Establishing mandate / resolution,UN Hbitat renewed mandate.pdf,/mnt/data/UN Hbitat renewed mandate.pdf,.pdf,44522,03122850afb374580d05508dbaa6c736a4b0ded8a67278fb412a82f3515e60f5,data/raw/igo_documents/UN Hbitat renewed mandate.pdf,,,pymupdf_text,5.0,5.0,0.0,1.0,0.0,ok,Provided (local copy)
